"R2-x227-000-0018-001","6","0","29"
"www.ltern.org.au%2Fknb%2Fmetacat%2Fltern2.711.5%2Fhtml","12","0","23"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FUMC7.20161124","15","0","20"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FCP_RESTORE.20160629","15","0","20"
"doi%3A10.6085%2FAA%2FARGXXX_015MTBD003R00_20050226.50.2","16","0","19"
"a2bf36c4-2b72-44af-b3f7-530eca809547","0","0","0"
"51827f1dd5682f48b1770eadd303cdc7b6fb567c","8","0","27"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FKOWMUNGHAK.20170320","15","0","20"
"aekos.org.au%2Fcollection%2Fsa.gov.au%2Fbdbsa_veg%2Fsurvey_128.20160801","15","0","20"
"563484d1a504447f37e3eb8f300f75ae70196fad","8","0","27"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FDTHOMAS.20160804","15","0","20"
"%7B8A5F6D92-A769-4140-A0EF-3249544DCEF6%7D","18","0","17"
"https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-gce%2F130%2F21","18","0","17"
"fa5bdd09-c784-4490-bc60-7feb06b3e603-PRISM-Precip-mm-Luna.xml","0","0","0"
"doi%3A10.6085%2FAA%2FHMS001_020MXTI018R00_20020627.50.2","16","0","19"
"afb8a729-6324-4f40-bdd2-ec35a77c073f","0","0","0"
"doi%3A10.6085%2FAA%2FBBYX00_XXXITBDXLSR03_20070714.50.3","14","0","21"
"doi%3A10.6085%2FAA%2FCBLX00_XXXITBDXLSR01_20040423.50.6","14","0","21"
"%7BD7C0E403-8B6C-4712-B856-B6B9E205CA5C%7D","18","0","17"
"pslee7.3.5","10","0","25"
"ark%3A%2F90135%2Fq1qn64p0%2F1%2Fmrt-eml.xml","14","0","21"
"1288846e267974e9da3198c3135b64bfb6442cb3","8","0","27"
"R1-x141-064-0025-A","6","0","29"
"menger.316.3","16","0","19"
"doi%3A10.6085%2FAA%2FLB30XX_030MTBD001R00_20050810.50.2","16","0","19"
"R1-x132-138-0001-007","6","0","29"
"www.ltern.org.au%2Fknb%2Fmetacat%2Fltern2.120.49%2Fhtml","15","0","20"
"doi%3A10.5063%2FAA%2Fklr.36.6","11","0","24"
"doi%3A10.6085%2FAA%2FANSXXX_015MTBD003R00_20061024.50.3","16","0","19"
"doi%3A10.5063%2FAA%2Fgeorgia.15.1","7","0","28"
"c752c13a4622ce84ecd1cc2cb209849e2429232f","8","0","27"
"shchang.58.3","13","0","22"
"esa.94.1","17","0","18"
"doi%3A10.5063%2FAA%2Fnrs.365.1","11","1","23"
"R1-x138-078-0028-002","10","0","25"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FNP_SCRAM.20170320","15","0","20"
"R1-x132-134-0124-002","10","0","25"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FBUNDJA.20150515","15","0","20"
"d66aefe8-74ae-46e0-b2ec-8f9d1d69cbff-20160612-sajddh-tray5-222-5-Post-3-Rla_summary_Calc_last.xml","0","0","0"
"%7B3BE48415-A74B-4E8E-A569-F03D82979327%7D","19","0","16"
"doi%3A10.5063%2FAA%2Fnceas.985.1","16","0","19"
"df35b.298.10","14","0","21"
"%7B813BDE73-BC5F-4DFF-9CCD-BB5A65A7374A%7D","18","0","17"
