"eec2f497-fcf4-4a5c-9640-93d4ec0b7dff","0","0","0"
"https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fedi%2F7%2F1","13","0","22"
"doi%3A10.5063%2FAA%2Fnrs.64.4","0","0","0"
"doi%3A10.6085%2FAA%2FVALXXX_015MTBD003R00_20051114.50.6","16","0","19"
"kubi.lifemapper.sdm.layers.615.eml","8","0","27"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FREMSGO.20161124","15","0","20"
"b2a98aa9-6a89-4381-bc4b-ade8ee4c2493-PRISM-AgT-max-celcius-Chaves.xml","0","0","0"
"seadva-nonee903e476-9bdd-4332-823a-aabea162acd6","0","0","0"
"doi%3A10.5063%2FAA%2Fnceas.978.1","16","0","19"
"doi%3A10.6085%2FAA%2FKHLX00_XXXITBPXLCR02_20080412.50.2","16","0","19"
"seadva-efd7ec67-34ed-466c-8b1a-b6322bedc8a3","0","0","0"
"doi%3A10.6085%2FAA%2FBBYX00_XXXITBDXLSR01_20000927.50.5","14","0","21"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FKLMRIV.20150515","15","0","20"
"42af870c-a0d4-4cdc-a405-946d275b0ece","0","0","0"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FJTH_DC.20161124","15","0","20"
"cgries.16.1","10","0","25"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FGIBRALTANR.20160202","15","0","20"
"doi%3A10.6085%2FAA%2FBBYX00_XXXITBDXLSR01_20031125.50.3","14","0","21"
"doi%3A10.6085%2FAA%2FLOP001_026MTBD004R00_20061118.50.4","16","0","19"
"Walker_Branch_Watershed_Vegetation_Inventory%2C_1967-2006.xml","0","0","0"
"ioe.13.1","15","0","20"
"doi%3A10.6073%2FAA%2Fknb-lter-bnz.133.6","17","0","18"
"d05beea8-274d-472f-b251-0ec60b946d23","0","0","0"
"chien.59.12","13","0","22"
"aekos.org.au%2Fcollection%2Fnsw.gov.au%2Fnsw_atlas%2Fvis_flora_module%2FRIVERINA_M.20160629","15","0","20"
"MontanaIOE.120.2","10","0","25"
"BP-x750-000-0028-002","9","0","26"
"menger.115.2","16","0","19"
"seadva-b6a7ed22-7db7-423e-ad97-1ee4a87d3ef9","0","0","0"
